participant_id,experimentalCondition,,Date  ,Time
1,replication_instructions,,16/8/2023,14:00 - 15:00
2,aiming_instructions,,,
3,replication_instructions,,,
4,replication_instructions,,,
5,replication_instructions,,,
6,replication_instructions,,,
7,replication_instructions,,,
8,aiming_instructions,,,
9,aiming_instructions,,,
10,aiming_instructions,,,
11,replication_instructions,,,
12,replication_instructions,,,
13,replication_instructions,,,
14,aiming_instructions,,,
15,aiming_instructions,,,
16,aiming_instructions,,,
17,aiming_instructions,,,
18,aiming_instructions,,,
19,replication_instructions,,,
20,replication_instructions,,,
21,aiming_instructions,,,
22,replication_instructions,,,
23,aiming_instructions,,,
24,aiming_instructions,,,
25,replication_instructions,,,
26,replication_instructions,,,
27,aiming_instructions,,,
28,aiming_instructions,,,
29,replication_instructions,,,
30,aiming_instructions,,,
31,aiming_instructions,,,
32,replication_instructions,,,
33,aiming_instructions,,,
34,replication_instructions,,,
35,replication_instructions,,,
36,aiming_instructions,,,
37,aiming_instructions,,,
38,replication_instructions,,,
39,aiming_instructions,,,
40,replication_instructions,,,